Product Name,Product ID,Review Text,Review Rating,Review Date,Reviewer Verified,Clean_Text,Sentiment
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Good quality product,4.0,· 9 days ago,True,good quality product,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Worth the money Good quality product but their is a issue. I ordered this and other jacket from same brand and same size. But this one is tight for me. Its perfect in length but for my hands it's feel tight. The smal... more,4.0,· 3 months ago,True,worth the money good quality product but their is a issue i ordered this and other jacket from same brand and same size but this one is tight for me its perfect in length but for my hands its feel tight the smal,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Just wow! Supper blue tyga full sleeve solid men jacket,4.0,· 3 months ago,True,just wow supper blue tyga full sleeve solid men jacket,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,"• Does the job Product is nice, just one pocket zipper is not working. Left hand stitching near wrist has come undone.",3.0,· 3 months ago,True,does the job product is nice just one pocket zipper is not working left hand stitching near wrist has come undone,Neutral
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Pretty good Good product go for it,4.0,· 3 months ago,True,pretty good good product go for it,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Good choice Good but need M size,4.0,· 3 months ago,True,good choice good but need m size,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Great product Excellent everything,5.0,· 11 days ago,True,great product excellent everything,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Not recommended at all Bed quality. After 1 washing create bubbles,1.0,· 5 months ago,True,not recommended at all bed quality after 1 washing create bubbles,Negative
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,"• Does the job Good product, quality was nice",3.0,· 5 months ago,True,does the job good product quality was nice,Neutral
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,"• Must buy! Nice products, it's really works👍",5.0,· 5 months ago,True,must buy nice products its really works,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Good quality product Good product for summer,4.0,· 6 months ago,True,good quality product good product for summer,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Good quality product,4.0,· 6 months ago,True,good quality product,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,"4.0 • Value-for-money Review for: Color Blue • Size L Great রিম্পু বাবান , Pashchim Khalna Helpful",4.0,,True,40 valueformoney review for color blue size l great pashchim khalna helpful,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,"• Not good Product ok, but Zip stopper is not fixed.",2.0,· 8 months ago,True,not good product ok but zip stopper is not fixed,Negative
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Mind-blowing purchase Ultimate product 👌 just love it 😀,5.0,· 9 months ago,True,mindblowing purchase ultimate product just love it,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Nice product Very nice product but wearing over tshirt feel bit hotter while not driving,4.0,· 9 months ago,True,nice product very nice product but wearing over tshirt feel bit hotter while not driving,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Fabulous! Good product with breathable fabric,5.0,· 9 months ago,True,fabulous good product with breathable fabric,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Just wow! Great jacket . But need to cover more of neck area,5.0,· 9 months ago,True,just wow great jacket but need to cover more of neck area,Positive
Blue Tyga Full Sleeve Solid Men Jacket,JCKGSZ6N8KD6XZWG,• Worth every penny Good quality product,5.0,· 9 months ago,True,worth every penny good quality product,Positive
