Product Name,Product ID,Review Text,Review Rating,Review Date,Reviewer Verified
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,,3.0,· 1 day ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Great product Next level product Rayabarapu  Shravanraj,5.0,· 10 days ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,"• Hated it! It's not at all foam padded. Very much cheap quality, it will not protect your guitar from any shock or hit Flipkart Customer , South Twenty Four Parganas District",1.0,· 14 days ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Brilliant Very good product 😀👍🏻,5.0,· 15 days ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,"• Don't waste your money Poor quality of cloth And, there's no padding at the bottom, where it needed the most! Padding is only on front and back! Unexpectedly poor quality of cloth and padding too.",1.0,· 19 days ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Great product I'm so much shocked when it comes. It is too good and soo much useful 👌🏻 👌🏻❣️,5.0,· 27 days ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,,4.0,· 27 days ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Good quality product,4.0,· 1 month ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,"• Moderate no side panel padding Sujay Rakshit , North Twenty Four Parganas District",2.0,· 1 month ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,,4.0,· 1 month ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,,5.0,· 1 month ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Pretty good Good one.,4.0,· 1 month ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Mind-blowing purchase The Bag was classy and too Good you are looking for a bag it should be considereble,5.0,· 1 month ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Just wow! Perfect brashon dcosta Dcosta,5.0,· 1 month ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Worth every penny The bag was arrived in great packing there  was no damage . It was same like in photo colour was same  there was e storage pocket same like photo . you can buy this bag . fantastic ! 🤩🤩👍🏻,5.0,· 1 month ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,"• Moderate As said it is foam padded ,in reality it is not foam padded , to give cushion ,I was expecting foam padded . but material is just fine not too bad .",2.0,· 2 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Must buy! Material is stiff. Likely it'll last long.,5.0,· 2 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,,5.0,· 2 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,,3.0,· 2 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,"• Could be way better The bag is loose and their is no foam padding near the chains A Nishan  Singha , Papum Pare District",2.0,· 2 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Really Nice Take it without thinking any thoughts Also so much asthetic,4.0,· 2 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,"3.0 • Fair Review for: Number Of Pockets 2 • Size 97 cm Expected to be more padded and waterproof but it's still alright as per pricing 😐 Flipkart Customer , Kolkata Helpful",3.0,,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Mind-blowing purchase,5.0,· 3 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Delightful Good balabadruni venugopal,4.0,· 3 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,,5.0,· 3 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,"• Highly recommended Nice and durable Flipkart Customer , South Twenty Four Parganas District",5.0,· 3 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,,5.0,· 3 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,,2.0,· 3 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Moderate This product most probably seems like a scam.The picture of the product in the website and the product that I got does not match at all.This purchase was really disappointing 🙁.Also the bag made of a... more,2.0,· 3 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,"• Simply awesome It's a amazing product.... Flipkart Customer , Dibrugarh District",5.0,· 3 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Fair Expected to be more padded and waterproof but it's still alright as per pricing 😐,3.0,· 2 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,• Highly recommended Worth it.,5.0,· 3 months ago,True
Swastik Guitar Bag Foam Padded 38 39 40 41 Inches,IBGGG3DJJVWRHX3W,"5.0 • Must buy! Review for: Number Of Pockets 2 • Size 97 cm Love it Ayush Malviya , Hoshangabad Helpful",5.0,,True
