Product Name,Product ID,Review Text,Review Rating,Review Date,Reviewer Verified
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,,4.0,· 1 day ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,,5.0,· 3 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,"• Highly recommended Sound is good connecting and disconnecting issue Chandan Kumar M B , Chitradurga District",5.0,· 4 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Not recommended at all In this product bluetooth connectivity is very low so don't not purchase it,1.0,· 5 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Utterly Disappointed Sound quality is very poor and software issue,1.0,· 10 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Worthless Product is defective. Software issues so connection is very poor. I purchased 1st connection issues so I put the replacement but replacement product also same connection issues. Past 2yrs oneplus neck... more,1.0,· 16 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,"• Absolute rubbish! Never Buy Please,,,worse product",1.0,· 17 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Delightful One of the best for its value,4.0,· 21 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Highly recommended Comfortable with my ear,5.0,· 25 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Great product This is value for money product,5.0,· 26 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,,4.0,· 1 day ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,,5.0,· 26 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,"3.0 • Does the job Review for: Color Navy Blue • Microphone Yes Don't connect with phone for a long time always disconnect and than co Flipkart Customer , Barrackpore Helpful",3.0,,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,"• Very poor I ordered a pair of headphones from this same company yesterday, and they are not working properly.",1.0,· 27 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,,1.0,· 1 month ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Moderate Connecting problem issue,2.0,· 1 month ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,,1.0,· 1 month ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Waste of money! Problem in connectivity,1.0,· 1 month ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Moderate Don't buy this product it is a waste of money as the built quality is bad and the device disconnects automatically after 10 to 30 minutes and has connectivity issues,2.0,· 1 month ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,,5.0,· 1 month ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Good Ear cushions are not removable upper part is full thin pastic body so there is fear to break,3.0,· 1 month ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Does the job Don't connect with phone for a long time always disconnect and than co,3.0,· 26 days ago,True
Goboult Flex 80hrs Battery Enc Mic 40mm Drivers 60ms Low Latency Bluetooth Wired,ACCHAKMTBZ8GWMGJ,• Perfect product! Amazing product and quality,5.0,· 1 month ago,True
